neighbourhood,neighbourhood_cleansed,has_availability,first_review,instant_bookable
"Paris, Île-de-France, France",Temple,t,2011-12-09,t
0,Vaugirard,t,0,f
0,Observatoire,t,2012-03-27,f
0,Buttes-Montmartre,t,2012-05-28,f
0,Popincourt,t,2013-12-09,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2012-10-24,f
"Paris, Île-de-France, France",Élysée,t,2013-05-12,f
0,Buttes-Chaumont,t,2012-01-08,f
0,Buttes-Montmartre,t,2012-05-20,f
"Paris, Île-de-France, France",Temple,t,2011-12-14,t
"Paris, Île-de-France, France",Luxembourg,t,2011-12-31,f
0,Buttes-Montmartre,t,0,f
0,Panthéon,t,2012-04-23,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-15,f
"Paris, Île-de-France, France",Louvre,t,2012-06-16,f
"Paris, Île-de-France, France",Bourse,t,2012-03-08,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2012-03-23,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2011-12-07,f
0,Popincourt,t,2011-12-08,f
0,Temple,t,2012-02-23,f
"Paris, Île-de-France, France",Popincourt,t,2012-01-27,f
"Paris, Île-de-France, France",Bourse,t,2012-01-04,f
0,Entrepôt,t,2012-06-04,f
"Paris, Île-de-France, France",Opéra,t,2012-03-07,f
0,Passy,t,0,f
0,Entrepôt,t,2012-01-04,t
0,Buttes-Montmartre,t,2017-07-21,f
"Paris, Île-de-France, France",Reuilly,t,2012-09-25,f
"Paris, Île-de-France, France",Bourse,t,2012-01-03,f
0,Popincourt,t,2014-11-24,f
0,Entrepôt,t,2012-01-07,f
"Paris, Île-de-France, France",Élysée,t,2013-06-03,f
"Paris, Île-de-France, France",Reuilly,t,2011-12-22,f
0,Luxembourg,t,2012-06-22,f
0,Buttes-Chaumont,t,0,f
"Paris, Île-de-France, France",Observatoire,t,2013-07-30,f
"Paris, Île-de-France, France",Louvre,t,2012-04-30,f
0,Ménilmontant,t,0,f
0,Ménilmontant,t,2012-01-07,f
0,Ménilmontant,t,2012-03-19,f
0,Hôtel-de-Ville,t,2012-12-30,t
0,Batignolles-Monceau,t,2013-05-05,f
0,Opéra,t,2012-01-13,f
0,Buttes-Montmartre,t,2012-03-30,t
0,Popincourt,t,2013-04-15,f
0,Luxembourg,t,2013-03-07,f
0,Popincourt,t,2012-01-08,f
0,Élysée,t,2012-01-16,t
"Paris, Île-de-France, France",Gobelins,t,2012-12-04,f
"Paris, Île-de-France, France",Temple,t,2012-05-10,f
"Paris, Île-de-France, France",Temple,t,2012-08-19,f
0,Batignolles-Monceau,t,2013-10-02,f
"Paris, Île-de-France, France",Gobelins,t,2012-06-03,f
